date,Bjorn Borg,John McEnroe,Novak Djokovic,Ivan Lendl,Jimmy Connors
1986-05-05,2222.643219662932,2248.980806625453,1500.0,2261.63065331862,2085.1998129723083
1986-05-12,2222.643219662932,2248.980806625453,1500.0,2257.025278953954,2085.1998129723083
1986-05-26,2222.643219662932,2248.980806625453,1500.0,2263.6976749146856,2085.1998129723083
1986-06-09,2222.643219662932,2248.980806625453,1500.0,2263.6976749146856,2079.7305369535243
1986-06-23,2222.643219662932,2248.980806625453,1500.0,2264.8638841125776,2066.907619512894
1986-08-04,2222.643219662932,2249.387665264022,1500.0,2265.0588373780733,2067.7401098713262
1986-08-11,2222.643219662932,2224.506613554261,1500.0,2265.7680162753622,2067.7401098713262
1986-08-18,2222.643219662932,2224.506613554261,1500.0,2265.7680162753622,2077.935153816264
1986-08-26,2222.643219662932,2209.163730020761,1500.0,2261.037524748025,2059.442870593895
1986-09-15,2222.643219662932,2209.421637232536,1500.0,2261.037524748025,2059.442870593895
1986-09-22,2222.643219662932,2225.5671580892686,1500.0,2261.037524748025,2060.4658703612427
1986-10-06,2222.643219662932,2226.0633392588647,1500.0,2261.037524748025,2060.4658703612427
1986-10-13,2222.643219662932,2226.0633392588647,1500.0,2263.4559305789994,2060.4658703612427
1986-10-20,2222.643219662932,2226.0633392588647,1500.0,2253.9775314041794,2064.8545279048685
1986-10-27,2222.643219662932,2230.104106747964,1500.0,2253.9775314041794,2049.5367210341174
1986-11-10,2222.643219662932,2202.32904865425,1500.0,2253.9775314041794,2049.5367210341174
1986-11-17,2222.643219662932,2202.32904865425,1500.0,2253.9775314041794,2051.14645688086
1986-12-01,2222.643219662932,2202.32904865425,1500.0,2257.7248627978265,2051.14645688086
1987-01-12,2222.643219662932,2202.32904865425,1500.0,2257.9902812093023,2051.14645688086
1987-02-02,2222.643219662932,2192.248850167282,1500.0,2257.9902812093023,2042.8005836035543
1987-02-09,2222.643219662932,2180.1211610068253,1500.0,2257.9902812093023,2043.8477488076333
1987-02-23,2222.643219662932,2180.1211610068253,1500.0,2242.6363076431235,2038.7807243689917
1987-03-16,2222.643219662932,2180.813030361561,1500.0,2242.6363076431235,2037.6681988943772
1987-03-23,2222.643219662932,2177.1291256546947,1500.0,2242.6363076431235,2037.6681988943772
1987-03-30,2222.643219662932,2177.1291256546947,1500.0,2242.6363076431235,2038.733327833136
1987-04-07,2222.643219662932,2173.6927691069654,1500.0,2242.6363076431235,2038.733327833136
1987-04-13,2222.643219662932,2173.6927691069654,1500.0,2242.9370659830897,2030.4387520646833
1987-04-27,2222.643219662932,2173.6927691069654,1500.0,2237.1557262199126,2030.4387520646833
1987-05-11,2222.643219662932,2161.5039789802,1500.0,2237.4439002810127,2030.4387520646833
1987-05-18,2222.643219662932,2150.4843474220725,1500.0,2237.4439002810127,2030.4387520646833
1987-05-25,2222.643219662932,2141.735812691511,1500.0,2239.399226387063,2027.338246950926
1987-06-08,2222.643219662932,2141.735812691511,1500.0,2239.399226387063,2022.1564406766856
