player,age,elo,helo,helo_rank,celo,celo_rank,gelo,gelo_rank,peak_elo,peak_month,atp_rank,log_diff
Alibek Kachmazov,23.0,1514.6,1493.9,224.0,1408.5,304.0,1461.7,236.0,1637.5,2025-04,374.0,-0.36
Henrique Rocha,21.5,1513.9,1458.0,266.0,1514.7,202.0,1462.8,232.0,1637.6,2024-09,167.0,0.45
Franco Agamenone,32.4,1511.7,1375.5,345.0,1495.4,220.0,1384.8,373.0,1707.6,2021-10,308.0,-0.16
Abedallah Shelbayh,21.8,1510.6,1502.6,216.0,1390.8,320.0,1472.9,219.0,1648.2,2024-02,274.0,-0.04
Taro Daniel,32.7,1509.8,1492.3,226.0,1470.9,241.0,1452.6,255.0,1766.8,2023-04,324.0,-0.2
Genaro Alberto Olivieri,27.2,1508.5,1367.4,354.0,1491.0,223.0,1379.2,381.0,1585.6,2023-07,228.0,0.15
Mitchell Krueger,31.7,1507.0,1462.3,259.0,1481.1,235.0,1446.7,259.0,1653.6,2022-04,236.0,0.12
Marco Cecchinato,33.0,1502.1,1411.0,307.0,1482.2,234.0,1401.3,336.0,1838.6,2018-07,233.0,0.14
Timofey Skatov,24.7,1499.4,1437.7,280.0,1501.5,215.0,1461.7,237.0,1672.0,2024-07,237.0,0.12
Juan Pablo Varillas,30.0,1498.7,1389.5,328.0,1488.8,228.0,1377.4,383.0,1730.0,2021-10,330.0,-0.2
Ryan Peniston,29.9,1498.4,1465.9,253.0,1385.2,327.0,1468.6,228.0,1723.2,2022-06,194.0,0.33
Javier Barranco Cosano,26.9,1497.1,1432.4,284.0,1468.5,245.0,1452.5,256.0,1581.0,2024-07,361.0,-0.29
Hynek Barton,21.5,1496.7,1458.9,264.0,1463.4,250.0,1448.3,258.0,1544.9,2025-07,298.0,-0.09
Daniel Rincon,22.7,1495.0,1540.8,174.0,1430.8,279.0,1357.9,414.0,1613.8,2023-09,235.0,0.15
Pedro Cachin,30.1,1494.6,1396.9,320.0,1497.1,218.0,1383.9,375.0,1767.7,2023-07,665.0,-0.89
Manuel Guinard,29.3,1493.8,1469.3,249.0,1446.2,263.0,1392.7,352.0,1664.3,2022-03,659.0,-0.87
Yasutaka Uchiyama,33.2,1493.2,1461.0,262.0,1362.7,357.0,1432.6,291.0,1727.5,2019-10,306.0,-0.1
Antoine Ghibaudo,20.7,1492.6,1453.8,268.0,1350.2,372.0,1508.6,181.0,1518.9,2025-09,339.0,-0.2
Harry Wendelken,23.8,1492.5,1482.7,234.0,1356.2,362.0,1398.9,340.0,1526.6,2025-10,364.0,-0.27
Federico Agustin Gomez,28.9,1490.1,1461.2,261.0,1455.0,257.0,1453.1,252.0,1668.6,2024-09,270.0,0.03
Enzo Couacaud,30.5,1490.1,1460.9,263.0,1474.7,239.0,1484.1,204.0,1647.1,2020-02,586.0,-0.74
Hamish Stewart,26.2,1489.9,1426.2,292.0,1355.0,365.0,1506.2,184.0,1602.2,2025-08,346.0,-0.21
Radu Albot,35.9,1487.9,1464.7,257.0,1469.0,243.0,1512.8,177.0,1823.4,2019-05,445.0,-0.46
Ilia Simakin,22.0,1487.1,1449.3,271.0,1353.5,369.0,1443.5,266.0,1616.5,2025-05,271.0,0.04
Gauthier Onclin,24.6,1487.0,1437.0,281.0,1482.8,232.0,1445.1,264.0,1591.3,2023-07,217.0,0.27
Dimitar Kuzmanov,32.2,1486.8,1495.8,222.0,1430.6,280.0,1438.3,279.0,1640.1,2021-05,250.0,0.13
Mats Rosenkranz,27.1,1486.6,1471.6,244.0,1336.8,385.0,1415.0,311.0,1503.3,2025-10,261.0,0.09
Sandro Kopp,25.3,1485.9,1366.9,356.0,1463.5,249.0,1442.9,269.0,1512.0,2025-09,332.0,-0.15
Calvin Hemery,30.7,1483.2,1427.4,290.0,1484.6,230.0,1393.8,348.0,1651.1,2015-06,231.0,0.22
Petr Brunclik,19.2,1482.6,1458.6,265.0,1393.3,318.0,1441.3,274.0,1525.1,2025-10,319.0,-0.1
Benjamin Hassan,30.6,1481.0,1434.0,283.0,1476.4,237.0,1437.3,280.0,1680.2,2023-10,215.0,0.3
Dennis Novak,32.1,1477.4,1461.8,260.0,1458.7,254.0,1534.8,156.0,1758.9,2019-11,513.0,-0.57
Geoffrey Blancaneaux,27.1,1476.6,1428.6,288.0,1466.5,247.0,1366.3,401.0,1591.5,2023-05,253.0,0.14
Max Hans Rehberg,21.6,1476.0,1457.7,267.0,1393.7,316.0,1370.9,393.0,1575.0,2025-02,401.0,-0.31
Frederico Ferreira Silva,30.6,1475.3,1442.5,275.0,1431.9,278.0,1459.9,243.0,1642.4,2021-05,249.0,0.17
Remy Bertola,27.1,1473.9,1451.7,269.0,1367.7,351.0,1437.0,282.0,1498.9,2025-10,239.0,0.21
Jozef Kovalik,32.8,1472.8,1421.1,296.0,1465.6,248.0,1374.3,386.0,1721.8,2018-07,558.0,-0.63
Nicolas Mejia,25.7,1472.6,1419.3,298.0,1482.3,233.0,1436.3,284.0,1536.3,2021-07,208.0,0.36
Andre Ilagan,24.9,1471.1,1448.4,272.0,1345.6,379.0,1435.6,286.0,1524.7,2025-10,340.0,-0.13
Rio Noguchi,26.8,1469.6,1430.2,287.0,1282.4,425.0,1389.7,359.0,1516.0,2022-10,246.0,0.2
James Mccabe,22.2,1469.3,1425.3,294.0,1298.1,414.0,1483.7,205.0,1584.1,2025-03,195.0,0.43
Gastao Elias,34.6,1468.9,1440.0,277.0,1442.1,269.0,1382.8,377.0,1737.5,2016-08,351.0,-0.15
Juan Pablo Ficovich,28.7,1468.1,1436.4,282.0,1443.2,266.0,1445.3,263.0,1597.4,2020-10,164.0,0.61
Tom Gentzsch,22.1,1467.6,1408.8,310.0,1411.3,300.0,1433.8,287.0,1502.7,2025-10,287.0,0.05
Maks Kasnikowski,22.3,1466.6,1412.4,305.0,1489.6,227.0,1483.3,207.0,1652.1,2024-06,563.0,-0.62
Yuta Shimizu,26.3,1466.5,1431.2,286.0,1319.3,398.0,1439.9,277.0,1590.8,2024-05,255.0,0.18
Kilian Feldbausch,20.0,1465.9,1317.5,400.0,1449.5,260.0,1433.0,290.0,1499.1,2024-01,336.0,-0.09
Andrea Collarini,33.7,1465.5,1341.8,378.0,1448.3,261.0,1353.1,421.0,1572.5,2019-09,273.0,0.12
Hady Habib,27.1,1463.5,1431.4,285.0,1456.0,255.0,1457.0,250.0,1624.9,2025-05,174.0,0.57
David Jorda Sanchis,31.3,1463.3,1364.6,360.0,1442.1,268.0,1392.8,350.0,1531.3,2023-07,419.0,-0.3
Gianluca Mager,30.4,1462.0,1406.3,314.0,1450.4,259.0,1424.5,298.0,1733.2,2022-01,903.0,-1.07
Stefan Kozlov,27.4,1461.7,1413.9,301.0,1444.1,264.0,1430.8,292.0,1724.4,2022-02,471.0,-0.42
Rodrigo Pacheco Mendez,20.4,1459.2,1418.5,299.0,1426.0,283.0,1429.6,293.0,1511.2,2025-06,202.0,0.43
Stuart Parker,28.1,1456.9,1438.3,279.0,1338.5,382.0,1336.1,446.0,1524.1,2025-03,384.0,-0.2
Oriol Roca Batalla,32.1,1456.9,1383.4,335.0,1433.1,275.0,1389.6,360.0,1554.6,2024-06,475.0,-0.41
Andres Martin,24.3,1454.5,1426.8,291.0,1443.6,265.0,1477.3,216.0,1603.6,2022-07,269.0,0.16
Petr Bar Biryukov,23.6,1454.5,1425.3,293.0,1337.2,384.0,1427.2,295.0,1488.1,2025-10,293.0,0.08
